	component:1	component:2	component:3
Vol1_3	6.7800457059961525	-6.375601759160293	-1.4228691951208337
Vol1_1	5.154666672128587	-5.6926129861763535	-2.0563959140535464
Vol1_2	7.5875202341112296	-6.954623976442779	-1.2439059546648872
Vol2_5	-4.637765593718602	0.7820019608102754	-3.8882285998741724
Vol2_1	-2.871262304469147	0.2307969819226183	-2.9390829930403046
Vol2_2	-5.059046918460721	-0.002150626014921229	-3.5521290153709555
Vol2_3	-3.79479918719389	1.5123789964969614	-4.432001337833335
Vol2_4	-4.896759247020847	0.6990438695973459	-3.998469994679318
Vol3_5	-3.5808063604060085	-1.54526988886482	4.045099177399031
Vol3_1	-2.2180572137568073	-1.449033128057347	3.906194431491133
Vol3_2	-2.1334995414051146	-0.7055295072610603	4.920740315408494
Vol3_3	-2.730892472526937	-1.510501926655329	4.767338424668312
Vol3_4	-3.2921420691032246	-1.6530443421086887	4.147201577991789
Vol4_1	5.315144310404213	7.593760717201331	0.6649469575571961
Vol4_2	4.764294559055103	7.063758906261563	0.5190261451231051
Vol4_3	5.613359426366017	8.006626708451499	0.5625359749982932
