	Class	(Z)-Ethyl heptadec-9-enoate/(E)-9-Octadecenoic acid ethyl ester	(Z)-Ethyl heptadec-9-enoate/Octadecanoic acid, ethyl ester	1,2-Benzenedicarboxylic acid, bis(2-methylpropyl) ester/(E)-9-Octadecenoic acid ethyl ester	1,2-Benzenedicarboxylic acid, bis(2-methylpropyl) ester/13-Docosenamide, (Z)-	1,2-Benzenedicarboxylic acid, bis(2-methylpropyl) ester/9-Octadecenamide, (Z)-	1,2-Benzenedicarboxylic acid, bis(2-methylpropyl) ester/Octadecanoic acid, ethyl ester	1,3-Benzenedicarboxylic acid, bis(2-ethylhexyl) ester/13-Docosenamide, (Z)-	Amid20.053/9-Octadecenamide, (Z)-	Cholesta-3,5-dien-7-one/Cholesterol	Diethyl Phthalate/(E)-9-Octadecenoic acid ethyl ester	Diethyl Phthalate/13-Docosenamide, (Z)-	Diethyl Phthalate/Ethyl 9-hexadecenoate	Diethyl Phthalate/Hexadecanoic acid, ethyl ester	Diethyl Phthalate/Hexanedioic acid, bis(2-ethylhexyl) ester	Diethyl Phthalate/Octadecanoic acid, ethyl ester	Diethyl Phthalate/Tetradecanoic acid, ethyl ester	Dodecanoic acid, ethyl ester/(E)-9-Octadecenoic acid ethyl ester	Dodecanoic acid, ethyl ester/Hexadecanoic acid, ethyl ester	Dodecanoic acid, ethyl ester/Octadecanoic acid, ethyl ester	Dodecanoic acid, ethyl ester:2/(E)-9-Octadecenoic acid ethyl ester	Dodecanoic acid, ethyl ester:2/13-Docosenamide, (Z)-	Dodecanoic acid, ethyl ester:2/9-Octadecenamide, (Z)-	Dodecanoic acid, ethyl ester:2/Cholesterol	Dodecanoic acid, ethyl ester:2/Ethyl 9-hexadecenoate	Dodecanoic acid, ethyl ester:2/Hexadecanoic acid, ethyl ester	Dodecanoic acid, ethyl ester:2/Hexanedioic acid, bis(2-ethylhexyl) ester	Dodecanoic acid, ethyl ester:2/N,N'-Diethyl-N,N'-diphenylurea	Dodecanoic acid, ethyl ester:2/Octadecanoic acid, ethyl ester	Dodecanoic acid, ethyl ester:2/Tetradecanoic acid, ethyl ester	Dodecanoic acid, ethyl ester:2/non-saturated3	Eicosanoic acid, ethyl ester/13-Docosenamide, (Z)-	Eicosanoic acid, ethyl ester/9-Octadecenamide, (Z)-	Eicosanoic acid, ethyl ester/Hexanedioic acid, bis(2-ethylhexyl) ester	Eicosanoic acid, ethyl ester/non-saturated3	Ester15.992/(E)-9-Octadecenoic acid ethyl ester	Ester15.992/13-Docosenamide, (Z)-	Ester15.992/Octadecanoic acid, ethyl ester	Ethyl 9-hexadecenoate/(E)-9-Octadecenoic acid ethyl ester	Heptadecanoic acid, ethyl ester/(E)-9-Octadecenoic acid ethyl ester	Heptadecanoic acid, ethyl ester/9-Octadecenamide, (Z)-	Heptadecanoic acid, ethyl ester/Octadecanoic acid, ethyl ester	Oxazole, 2-(8Z)-8-heptadecen-1-yl-4,5-dihydro-/9-Octadecenamide, (Z)-	Pentadecanoic acid, ethyl ester/(E)-9-Octadecenoic acid ethyl ester	Pentadecanoic acid, ethyl ester/Hexadecanoic acid, ethyl ester	Pentadecanoic acid, ethyl ester/Hexanedioic acid, bis(2-ethylhexyl) ester	Pentadecanoic acid, ethyl ester/Octadecanoic acid, ethyl ester	Pentadecanoic acid, ethyl ester:2/(E)-9-Octadecenoic acid ethyl ester	Pentadecanoic acid, ethyl ester:2/Hexadecanoic acid, ethyl ester	Phosphoric acid, tris(3-methylphenyl) ester/Phosphoric acid, tris(4-methylphenyl) ester	Tetradecanoic acid, ethyl ester/(E)-9-Octadecenoic acid ethyl ester	Tetradecanoic acid, ethyl ester/Hexadecanoic acid, ethyl ester	Unknown 148/(E)-9-Octadecenoic acid ethyl ester	Unknown 148/13-Docosenamide, (Z)-	Unknown 148/Cholesterol	Unknown 148/Ethyl 9-hexadecenoate	Unknown 148/Hexadecanoic acid, ethyl ester	Unknown 148/Hexanedioic acid, bis(2-ethylhexyl) ester	Unknown 148/N,N'-Diethyl-N,N'-diphenylurea	Unknown 148/Octadecanoic acid, ethyl ester	Unknown19.395/(E)-9-Octadecenoic acid ethyl ester	Unknown19.395/9-Octadecenamide, (Z)-	Unknown19.395/Cholesterol	Unknown19.395/Ethyl 9-hexadecenoate	Unknown19.395/Hexadecanoic acid, ethyl ester	Unknown19.395/Tetradecanoic acid, ethyl ester
Vol1_3	1	0.017940709	0.097061171	0.004068086	0.026647188	0.058387663	0.022008783	0.086921573	0	0	0.014910013	0	0.093005597	0.032253569	0.080481598	0.080664778	0	0.090944136	0	0	0.007590801	0.049722036	0	0.062074594	0.047349859	0.016420538	0.040973795	0.033189014	0.041067053	0.066562177	0	0.062437503	0	0.051452066	0	0.026489557	0	0.143311359	0	0.009260316	0	0.05009931	0	0.011238433	0.02431115	0.06066306	0.060801132	0.031244781	0	0	0.11404076	0.246694724	0.015040793	0	0.122997703	0	0.032536474	0.081187525	0.065762371	0.081372312	0.030121641	0	0	0.187892609	0.065159597	0
Vol1_1	1	0.016098862	0.095735941	0.008050563	0.040633659	0.052824244	0.047874703	0.054489517	0	0	0.009323746	0	0.128958116	0.025778532	0.065376657	0.055446006	0	0.056024552	0	0	0.006273557	0.031664562	0	0.091252097	0.086770491	0.01734529	0.043989202	0.037219379	0.037307285	0.066832863	0	0.041361565	0	0.057460523	0	0.029015658	0	0.172548924	0	0.009230672	0	0.054892518	0	0.010501184	0.029033942	0.073632668	0.062447936	0.028778469	0	0	0.093869337	0.259532344	0.010243096	0	0.148991083	0	0.028320374	0.071822995	0.060769623	0.060913151	0.013355589	0	0	0.184723138	0.036925875	0
Vol1_2	1	0.022268154	0.111253967	0.003715917	0.026806172	0.049275994	0.018565098	0.096617135	0	0	0.021113841	0	0.122120267	0.043814869	0.067088641	0.105486902	0	0.099946453	0	0	0.007550934	0.054471523	0	0.061360094	0.043673819	0.015669493	0.023992882	0.04295856	0.037725235	0.061294282	0	0.072679384	0	0.032012835	0	0.030197824	0	0.150871409	0	0.014881079	0	0.074347387	0	0.016856957	0.034981099	0.053562511	0.084219077	0.004481311	0	0	0.123191489	0.255643629	0.014049115	0	0.114165351	0	0.029154342	0.044640671	0.079927828	0.070190811	0.029852337	0	0	0.172662824	0.061948759	0
Vol2_5	2	0.01950303	0.069955947	0.013027945	0.050288355	0.14688816	0.046730288	0.050948008	0.142816421	0.012802256	0.008283719	0.031975465	0.100262032	0.016927831	0.066078177	0.029713095	0.112367225	0.026287772	0.053719225	0.094292322	0.001196067	0.004616863	0.013485477	0.033587938	0.014476601	0.00244417	0.009540874	0.010641393	0.004290204	0.016224441	0	0.032268386	0.094253308	0.066683507	0	0.010290024	0.039719879	0.036909568	0.082620695	0.007695221	0.086762484	0.027602197	0.129894503	0.002237593	0.004572535	0.017848995	0.008026082	0.017793983	0.036362115	0.87774943	0.073720062	0.150647405	0.005268829	0.020337877	0	0.063771298	0.010766885	0.042028782	0	0.018898905	0	0	0	0	0	0
Vol2_1	2	0.020805614	0.082919442	0.017771134	0.026092025	0.128853137	0.070825717	0.040977442	0.133595877	0.063597697	0.009760637	0.014330812	0.097561526	0.020075565	0.029710776	0.038900392	0.122682117	0.022421695	0.046116683	0.089360228	0.003476606	0.005104441	0.025207824	0.037619096	0.034750091	0.007150644	0.010582575	0.023241774	0.013855791	0.043697704	0	0.01038903	0.051305295	0.021538635	0	0.014294286	0.020987229	0.056968961	0.100045961	0.009917253	0.071907012	0.039524577	0.069567426	0.01427199	0.029354464	0.043443056	0.056880101	0.023016485	0.047340041	0.857062271	0.079560387	0.163638885	0.008314335	0.012207316	0	0.083105158	0.017100829	0.025308324	0	0.033136251	0	0	0	0	0	0
Vol2_2	2	0.022660365	0.073534663	0.013745517	0.054993106	0.116866853	0.044605279	0.045013571	0.044886365	0.034411645	0.007390402	0.029567546	0.069547911	0.013535077	0.100155145	0.023982436	0.082482081	0.026890227	0.049247833	0.087260896	0.000269592	0.001078584	0.002292119	0.004069174	0.002537014	0.000493741	0.003653525	0.010912375	0.000874847	0.003008835	0	0.033994947	0.072243283	0.115152232	0	0.015359165	0.061448995	0.049841694	0.106263471	0.011734706	0.09977058	0.038080041	0.078710475	0.002284736	0.004184357	0.030962873	0.007414148	0.026367753	0.048290952	0.842122281	0.089600098	0.164097187	0.008142323	0.03257583	0	0.07662391	0.014912174	0.110345209	0	0.026422476	0	0	0	0	0	0
Vol2_3	2	0.022864524	0.037439461	0.016014541	0.06634108	0.186513115	0.026222973	0	0.110837907	0	0.012792032	0.052991666	0.133413575	0.017005996	0.070522522	0.020946283	0.124198223	0.040083761	0.053288194	0.06563506	0.001373785	0.005690978	0.015999771	0.035510062	0.014327795	0.001826339	0.007573684	0.053871941	0.002249502	0.013338123	0	0.049904406	0.140302604	0.066413926	0	0.011905604	0.049319588	0.019494802	0.095882538	0.013906602	0.161963027	0.022771332	0.16842791	0.012726571	0.016918971	0.070161633	0.020839093	0.024076484	0.032007784	0.863181505	0.102996901	0.136926245	0.0058112	0.024073201	0	0.060607488	0.007725531	0.032037167	0	0.009515535	0	0	0	0	0	0
Vol2_4	2	0.016563093	0.046946155	0.016228482	0.075162261	0.125023583	0.045997738	0.021159215	0.128240832	0.012417573	0.009237535	0.042783671	0.1702189	0.017196944	0.03941402	0.026182715	0.120995579	0.031550598	0.058735783	0.089426488	0.001399562	0.006482077	0.010782172	0.035683006	0.025789558	0.002605478	0.005971547	0.009657232	0.003966896	0.018331821	0	0.043335162	0.072082947	0.039922076	0	0.005423333	0.025118184	0.015371806	0.054268563	0.007125739	0.054896411	0.020197075	0.123003988	0.00408438	0.007603635	0.017426924	0.011576698	0.011351196	0.021131814	0.866545046	0.076346054	0.142128695	0.001049343	0.004860034	0	0.019336105	0.001953496	0.004477256	0	0.002974239	0	0	0	0	0	0
Vol3_5	3	0	0	0.012245231	0	0	0	0	0	0.026276369	0.008642991	0	0.084824104	0.017468742	0.044227644	0.041068858	0.102292025	0.027656911	0.055898644	0.131417215	0.002500629	0.023390993	0.031738959	0.028881877	0.02454169	0.005054135	0.01279614	0.027869581	0.011882226	0.029595587	0.155773903	0.074009997	0	0	0.492874587	0.014776101	0	0.070211528	0.101893096	0	0	0	0	0.002664023	0.005384379	0	0	0.012839496	0.025950491	0	0.084493298	0.170773258	0.006699904	0.062671201	0.077382859	0.065754248	0.013541481	0.034284541	0.074670626	0.031835902	0.000825186	0.010473589	0.009530776	0.008098551	0.001667822	0.009766294
Vol3_1	3	0.027779868	0	0.017506528	0	0	0	0	0	0.030870105	0.008337685	0	0.091005193	0.015418401	0.07119405	0.026419772	0.08335143	0.035256211	0.065197283	0.111716986	0.003346482	0.013222971	0.014644621	0.041951826	0.036526596	0.006188457	0.028575032	0.035774514	0.010604058	0.033454618	0.134281578	0.046216684	0	0	0.469338473	0.018472834	0	0.058535199	0.091617684	0.014298562	0	0.045308108	0	0.014210541	0.026278737	0	0	0.030600257	0.056587295	0	0.100030498	0.184980647	0.0090378	0.035711103	0.113298739	0.098646893	0.016713084	0.07717221	0.096615754	0.028638238	0.000671243	0.002937442	0.008414766	0.007326564	0.001241291	0.006710382
