	ethnicity	MX00384	MX00028	MX00395	MX00398	MX00402
C1_1.txt	cz	0	7.132306575	0	0	0
C1_10.txt	cz	0	0	0	0	0
C1_2.txt	cz	0	6.977688997	0	0	0
C1_3.txt	cz	0	6.648322631	0	0	0
C1_4.txt	cz	0	7.261816271	0	0	0
C1_5.txt	cz	7.002586584	6.900780522	6.834698932	6.988340506	7.426142866
C1_6.txt	cz	0	7.079051843	6.150214692	0	7.062631577
C1_7.txt	cz	0	7.149308396	0	0	0
C1_8.txt	cz	7.769724047	8.085251262	7.088576187	7.841217194	7.153606079
C1_9.txt	cz	7.515438245	7.818149423	0	0	0
C2_1.txt	cz	7.162431768	7.467896671	0	6.445288252	6.387970396
C2_10.txt	cz	7.609941727	7.403934446	7.492408608	7.580662211	7.524216642
C2_2.txt	cz	7.152368987	0	7.455754721	7.11887195	7.323408377
C2_3.txt	cz	6.831554397	7.607224657	6.790613822	7.031963885	0
C2_4.txt	cz	7.052378358	7.719142195	7.06199177	7.145975541	0
C2_5.txt	cz	7.078691411	7.695753665	6.96843933	7.178958712	0
C2_6.txt	cz	7.138807166	7.608617279	6.920246394	7.0421959	7.065896377
C2_7.txt	cz	6.727880346	7.408935501	6.159517565	6.564567952	0
C2_8.txt	cz	7.323895596	7.802864371	7.352819306	7.107653334	6.654378909
C2_9.txt	cz	7.382857481	6.547028998	7.636718793	7.328370347	5.864644553
C3_1.txt	cz	7.40471379	6.406177265	0	7.066813404	7.637149315
C3_10.txt	cz	7.490771212	7.161819883	6.904322285	7.28262175	7.514586891
C3_2.txt	cz	7.218986816	6.663697534	7.613878466	6.538436236	6.602839501
C3_3.txt	cz	6.921680286	0	7.384680061	7.695979464	6.670455526
C3_4.txt	cz	6.877807898	7.287575099	7.303316995	6.949628266	7.152306205
C3_5.txt	cz	6.470922551	7.181396949	7.394168825	7.474527926	0
C3_6.txt	cz	6.683851899	7.095036008	7.110671377	7.326666106	7.512389547
C3_7.txt	cz	7.017173627	7.010761785	7.230893769	7.409831111	7.670981952
C3_8.txt	cz	7.374849853	7.254755967	7.458642441	7.677355025	7.421413684
C3_9.txt	cz	6.938359737	7.052433595	7.479920392	7.369062417	7.36542394
C4_1.txt	cz	0	0	0	0	8.195678892
C4_2.txt	cz	8.557804819	0	8.874706392	0	7.947208448
C4_3.txt	cz	8.921855299	8.748217024	0	0	9.079327146
C4_4.txt	cz	8.979961769	9.1273249	9.27264172	8.626751321	9.255932666
C4_5.txt	cz	8.725450055	8.866568448	0	8.126172671	9.404334539
C4_6.txt	cz	8.501028444	0	8.176571746	8.161904803	8.610091768
C4_8.txt	cz	8.103860781	0	8.26190211	0	8.158616827
C4_9.txt	cz	8.397743992	0	8.920482002	8.552271171	8.493379752
C5_1.txt	cz	8.582326129	9.252143101	0	0	9.174028431
C5_10.txt	cz	8.460071149	0	8.544128818	0	0
C5_2.txt	cz	8.792844092	0	9.035767705	8.353374357	9.069999647
C5_3.txt	cz	0	0	0	8.387768265	0
C5_4.txt	cz	9.180752645	0	8.970432878	9.239611348	8.565739638
C5_5.txt	cz	0	0	8.117737743	8.534975208	8.350985106
C5_6.txt	cz	8.859285692	9.53988972	8.72021486	8.88147233	8.749326948
C5_7.txt	cz	8.945355795	0	8.827650059	7.946036578	9.22469389
C5_8.txt	cz	0	0	9.291984783	0	9.541787802
C5_9.txt	cz	8.105865572	0	8.510868444	0	9.168954744
C6_1.txt	cz	9.018659019	8.535500286	9.277810639	8.591340541	9.273074015
C6_10.txt	cz	8.532282237	8.82727607	8.58126976	0	9.180461009
C6_2.txt	cz	9.119113439	8.614903892	9.24915235	9.1211782	9.244542102
