	ethnicity	MX00384	MX00028	MX00049	MX00027	MX00395	MX00398	MX00102	MX00178	MX00020	MX00179	MX00092	MX00402	MX00001	MX00180	MX00087	MX00085	MX00101	MX00030	MX00023
C1_1.txt	cz	0	7.132306575	5.937536447	5.861677758	0	0	0	0	6.199637814	0	0	0	7.825123194	0	0	0	0	7.093187699	7.316666672
C1_10.txt	cz	0	0	0	0	0	0	6.206421605	0	0	0	6.600552439	0	0	0	6.810835674	6.855381395	6.51861329	0	0
C1_2.txt	cz	0	6.977688997	0	5.794033996	0	0	0	0	7.290140388	0	0	0	7.910032737	0	0	0	0	7.1092873	0
C1_3.txt	cz	0	6.648322631	0	0	0	0	0	0	6.255313279	0	0	0	7.741257921	0	0	0	0	7.195158867	7.313199707
C1_4.txt	cz	0	7.261816271	5.926042865	6.141986587	0	0	0	6.364172629	6.40803159	6.632835541	6.443015173	0	7.075362913	6.652995892	6.806203317	7.11105446	6.229730464	7.628578844	7.810111833
C1_5.txt	cz	7.002586584	6.900780522	6.375849544	6.326036053	6.834698932	6.988340506	6.775407633	6.967786024	6.712369171	7.003959383	7.055291426	7.426142866	6.999763766	7.216124293	7.147479162	7.97495528	7.63799176	7.183197987	7.62016509
C1_6.txt	cz	0	7.079051843	6.163652363	6.255191429	6.150214692	0	0	6.287420324	6.752991802	6.709893218	0	7.062631577	6.355400559	0	6.714853448	7.217577768	0	7.12189612	7.633696098
C1_7.txt	cz	0	7.149308396	0	0	0	0	0	6.348794191	0	6.108739518	6.982902401	0	0	0	7.226167045	7.316978291	0	0	6.229379497
C1_8.txt	cz	7.769724047	8.085251262	0	0	7.088576187	7.841217194	8.096028958	7.527808286	6.308105761	7.53604705	7.329571745	7.153606079	6.218051578	7.914162573	7.37116432	7.553231509	8.267726794	7.078716809	0
C1_9.txt	cz	7.515438245	7.818149423	0	0	0	0	7.669097734	0	0	0	7.16763452	0	0	6.840130946	0	7.376563052	7.051693644	6.656476918	7.036244127
C2_1.txt	cz	7.162431768	7.467896671	0	0	0	6.445288252	6.788766564	6.994742658	6.40223111	6.997358202	7.007850068	6.387970396	6.613078759	7.44909582	7.85235356	7.621213039	7.248636935	7.346243722	7.60949863
C2_10.txt	cz	7.609941727	7.403934446	6.427439691	6.490574909	7.492408608	7.580662211	6.884689694	7.372624998	6.975022368	7.523233944	7.243460127	7.524216642	7.426787642	7.716854378	7.459451943	7.710957306	7.799976181	7.817524291	8.157062133
C2_2.txt	cz	7.152368987	0	6.14627474	0	7.455754721	7.11887195	6.762585244	6.567304743	6.64178455	6.870900251	6.363086561	7.323408377	7.37105086	6.262056248	7.126001944	6.795068554	0	0	7.724550159
C2_3.txt	cz	6.831554397	7.607224657	6.278234881	6.346751286	6.790613822	7.031963885	6.513264624	7.143070942	0	7.080562889	6.569535072	0	7.689046951	7.03940234	7.461172113	7.30616418	7.241874717	7.660584499	7.889146197
C2_4.txt	cz	7.052378358	7.719142195	6.390629228	6.404268595	7.06199177	7.145975541	6.764241982	7.056045546	6.806001809	6.88522831	6.849222309	0	0	7.62607171	7.842961312	7.122474444	7.545167018	7.888086675	8.023856955
C2_5.txt	cz	7.078691411	7.695753665	6.342056535	6.324976155	6.96843933	7.178958712	6.726497697	7.505056215	6.810855411	7.34182555	6.891428954	0	0	7.566139335	7.787210134	7.806813724	7.642515584	7.687599584	7.875400425
C2_6.txt	cz	7.138807166	7.608617279	6.301101648	6.401733372	6.920246394	7.0421959	6.652847167	7.014030232	6.849748481	7.220088073	7.067545604	7.065896377	7.059844842	7.41604355	7.336835406	7.59740984	6.957142722	7.751292302	8.009302203
C2_7.txt	cz	6.727880346	7.408935501	6.184065653	0	6.159517565	6.564567952	6.217098699	7.195594377	6.411864391	7.28970801	6.89399604	0	7.430506442	7.476900852	7.225631781	7.863759731	7.200281933	7.519744538	7.73132183
C2_8.txt	cz	7.323895596	7.802864371	6.341861882	6.494259258	7.352819306	7.107653334	7.036093281	7.238906359	6.930855594	7.378051727	7.009193728	6.654378909	7.49535619	7.451404334	7.203350519	7.288965891	7.327683767	7.823156289	8.034689077
C2_9.txt	cz	7.382857481	6.547028998	6.782458076	6.637273829	7.636718793	7.328370347	7.021642218	7.322084829	7.111460019	7.411758069	7.101758343	5.864644553	7.520929324	7.505307734	7.205453741	7.369767618	7.616043262	8.181912132	8.173754828
C3_1.txt	cz	7.40471379	6.406177265	6.048507448	0	0	7.066813404	6.783021452	7.043058047	0	6.849502579	7.220069078	7.637149315	6.780633879	7.558576403	7.82534388	7.465692414	7.932860835	6.734456898	7.213100288
C3_10.txt	cz	7.490771212	7.161819883	6.534480227	6.536928824	6.904322285	7.28262175	6.948281728	6.89380103	7.122390118	7.178307445	7.031465464	7.514586891	7.364409503	7.410602199	7.593740443	7.847858804	7.651622569	7.443570218	8.001074981
C3_2.txt	cz	7.218986816	6.663697534	6.308433572	0	7.613878466	6.538436236	6.997965087	6.758459203	0	6.824410083	6.722611302	6.602839501	7.400451554	6.585484869	7.428157011	7.000964928	7.32188745	6.878486867	7.482117668
C3_3.txt	cz	6.921680286	0	6.382984926	6.256050402	7.384680061	7.695979464	7.305098911	0	6.88110807	0	7.056656471	6.670455526	0	6.359000607	7.270400845	7.318538669	7.082671649	0	7.662279136
C3_4.txt	cz	6.877807898	7.287575099	6.631438087	6.610346783	7.303316995	6.949628266	7.811661695	6.927610493	0	0	6.726061813	7.152306205	7.708130676	6.956552352	6.850213869	6.350397475	7.447191967	7.492345013	8.049810206
C3_5.txt	cz	6.470922551	7.181396949	6.546370639	6.443078432	7.394168825	7.474527926	7.636085863	0	7.049996418	0	6.969070343	0	0	7.086918572	7.147747444	6.692088665	0	7.339429617	7.926760789
C3_6.txt	cz	6.683851899	7.095036008	6.638280446	6.639216266	7.110671377	7.326666106	0	0	0	0	0	7.512389547	7.926111437	7.316678758	6.701871799	6.288213667	6.695002024	0	8.063810209
C3_7.txt	cz	7.017173627	7.010761785	6.577447794	6.516043027	7.230893769	7.409831111	7.250692303	6.873996517	7.149024992	6.933493868	6.819048689	7.670981952	7.367474916	7.205988905	7.407011909	7.714518209	7.187482253	7.256503407	7.9007957
C3_8.txt	cz	7.374849853	7.254755967	6.761477908	6.754681957	7.458642441	7.677355025	7.302946623	6.81440157	7.37351586	6.928324147	7.243236191	7.421413684	7.563975437	7.241847469	7.470209822	7.567057107	7.397535423	7.520420277	8.119331089
C3_9.txt	cz	6.938359737	7.052433595	6.529794296	6.532444021	7.479920392	7.369062417	7.077323383	6.67382568	7.170878591	6.888325152	6.820073846	7.36542394	7.314349378	7.044401611	7.051048395	7.231876296	7.119679648	7.219729642	7.885600135
C4_1.txt	cz	0	0	0	0	0	0	0	0	0	0	0	8.195678892	0	0	0	0	0	0	0
C4_2.txt	cz	8.557804819	0	0	0	8.874706392	0	0	0	0	0	0	7.947208448	0	0	0	0	0	0	0
C4_3.txt	cz	8.921855299	8.748217024	0	0	0	0	0	0	0	0	0	9.079327146	0	0	0	0	0	0	0
C4_4.txt	cz	8.979961769	9.1273249	0	0	9.27264172	8.626751321	0	0	0	0	0	9.255932666	0	0	0	0	0	0	0
C4_5.txt	cz	8.725450055	8.866568448	0	0	0	8.126172671	0	0	0	0	0	9.404334539	0	0	0	0	0	0	0
C4_6.txt	cz	8.501028444	0	0	0	8.176571746	8.161904803	0	0	0	0	0	8.610091768	0	0	0	0	0	0	0
C4_8.txt	cz	8.103860781	0	0	0	8.26190211	0	0	0	0	0	0	8.158616827	0	0	0	0	0	0	0
C4_9.txt	cz	8.397743992	0	0	0	8.920482002	8.552271171	0	0	0	0	0	8.493379752	0	0	0	0	0	0	0
C5_1.txt	cz	8.582326129	9.252143101	0	0	0	0	0	0	0	0	0	9.174028431	0	0	0	0	0	0	0
C5_10.txt	cz	8.460071149	0	0	0	8.544128818	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5_2.txt	cz	8.792844092	0	0	0	9.035767705	8.353374357	0	0	0	0	0	9.069999647	0	0	0	0	0	0	0
C5_3.txt	cz	0	0	0	0	0	8.387768265	0	0	0	0	8.936802744	0	0	0	0	0	0	0	0
C5_4.txt	cz	9.180752645	0	0	0	8.970432878	9.239611348	0	0	0	0	8.930767382	8.565739638	0	0	0	0	0	0	0
C5_5.txt	cz	0	0	0	0	8.117737743	8.534975208	0	0	0	0	8.637525407	8.350985106	0	0	0	0	0	0	0
C5_6.txt	cz	8.859285692	9.53988972	0	0	8.72021486	8.88147233	0	0	0	0	0	8.749326948	0	0	0	0	0	0	0
C5_7.txt	cz	8.945355795	0	0	0	8.827650059	7.946036578	0	0	0	0	8.9316372	9.22469389	0	0	0	0	0	0	0
C5_8.txt	cz	0	0	0	0	9.291984783	0	0	0	0	0	0	9.541787802	0	0	0	0	0	0	0
C5_9.txt	cz	8.105865572	0	0	0	8.510868444	0	0	0	0	0	0	9.168954744	0	0	0	0	0	0	0
C6_1.txt	cz	9.018659019	8.535500286	0	0	9.277810639	8.591340541	0	0	0	0	0	9.273074015	0	0	0	0	0	0	0
C6_10.txt	cz	8.532282237	8.82727607	0	0	8.58126976	0	0	0	0	0	0	9.180461009	0	0	0	0	0	0	0
C6_2.txt	cz	9.119113439	8.614903892	0	0	9.24915235	9.1211782	0	0	0	0	0	9.244542102	0	0	0	0	0	0	0
C6_3.txt	cz	9.295608617	0	0	0	9.339816701	0	0	0	0	0	0	9.786757824	0	0	0	0	0	0	0
C6_4.txt	cz	9.57975343	8.544731908	0	0	0	9.207305408	0	0	0	0	8.795986159	9.569748377	0	0	0	0	0	0	0
C6_5.txt	cz	8.699175647	8.576407027	0	0	8.983973606	9.086738779	0	0	0	0	8.937712599	9.398494424	0	0	0	0	0	0	0
C6_6.txt	cz	9.276592356	8.816466774	0	0	9.579879147	0	0	0	0	0	8.765739433	9.729113878	0	0	0	0	0	0	0
C6_7.txt	cz	9.224308304	8.820397616	0	0	9.207877985	9.143570028	0	0	0	0	0	9.322780855	0	0	0	0	0	0	0
C6_8.txt	cz	9.082449473	0	0	0	9.127296747	9.098553681	0	0	0	0	0	8.925691833	0	0	0	0	0	0	0
C6_9.txt	cz	9.119596446	0	0	0	9.62972124	9.170779055	0	0	0	0	0	8.834859296	0	0	0	0	0	0	0
I1_1.txt	ind	0	7.688232688	0	6.795671715	8.380458424	7.652686216	0	0	7.342731453	0	7.665455056	0	6.272317676	7.425243697	7.674455781	8.12773114	0	0	0
I1_10.txt	ind	8.125371595	6.964570033	6.374894186	0	6.893265951	8.209262823	6.851520131	7.385524822	6.712815981	7.228197384	7.340973057	8.07390876	6.489557169	7.822111323	8.043280195	8.197073892	8.083415487	7.069471806	7.581300791
I1_2.txt	ind	7.27551797	7.514296878	6.574546788	6.444753305	0	8.069002421	6.281176593	0	0	6.949200242	7.891631281	0	6.040415609	0	7.883511745	8.113121046	7.811307437	7.476689844	7.9026571
I1_3.txt	ind	6.730991462	6.866405794	0	6.297529628	6.144130658	0	5.990353065	6.395000856	6.875110191	6.723221057	0	0	6.979956438	6.134764061	6.796805294	7.10062288	6.822373732	6.977429603	7.611432084
